,Date,Symbol,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
30072,2016-04-04,AAPL,110.42,112.19,110.27,111.12,37356204.0,0.0,1.0,107.2564095559,108.97569813509001,107.11070713394001,107.93635419174,37356204.0
30557,2016-04-05,AAPL,109.51,110.73,109.42,109.81,26578652.0,0.0,1.0,106.37248152932,107.55752789463001,106.28506007614,106.66388637325001,26578652.0
31042,2016-04-06,AAPL,110.23,110.98,109.2,110.96,26404077.0,0.0,1.0,107.07185315475,107.80036526456999,106.07136319059,107.78093827498002,26404077.0
31527,2016-04-07,AAPL,109.95,110.42,108.12100000000001,108.54,31801870.0,0.0,1.0,106.79987530041001,107.2564095559,105.02327710191999,105.43027253393998,31801870.0
32012,2016-04-08,AAPL,108.91,109.77,108.17,108.66,23581740.0,0.0,1.0,105.78967184146,106.62503239406,105.07087322643,105.54683447151,23581740.0
32498,2016-04-11,AAPL,108.97,110.61,108.83,109.02,29407518.0,0.0,1.0,105.84795281024,107.44096595705999,105.71196388307,105.89652028423001,29407518.0
32984,2016-04-12,AAPL,109.34,110.5,108.66,110.44,27232325.0,0.0,1.0,106.20735211776,107.33411751429001,105.54683447151,107.2758365455,27232325.0
33470,2016-04-13,AAPL,110.8,112.34,110.8,112.04,33257316.0,0.0,1.0,107.62552235821998,109.12140055706,107.62552235821998,108.82999571313,33257316.0
33956,2016-04-14,AAPL,111.62,112.39,111.33,112.1,25473923.0,0.0,1.0,108.42202893161999,109.16996803104999,108.14033758249,108.88827668191,25473923.0
34442,2016-04-15,AAPL,112.11,112.3,109.73,109.85,46938969.0,0.0,1.0,108.89799017671,109.08254657786999,106.58617841486,106.70274035243999,46938969.0
34928,2016-04-18,AAPL,108.89,108.95,106.94,107.48,60821461.0,0.0,1.0,105.77024485186001,105.82852582065,103.87611336631001,104.40064208538999,60821461.0
35414,2016-04-19,AAPL,107.88,108.0,106.23,106.91,32384879.0,0.0,1.0,104.7891818773,104.90574381487,103.18645523568001,103.84697288192,32384879.0
35900,2016-04-20,AAPL,106.64,108.09,106.06,107.13,30611030.0,0.0,1.0,103.58470852238001,104.99316526805,103.02132582411998,104.06066976747,30611030.0
36386,2016-04-21,AAPL,106.93,106.93,105.52,105.97,31552525.0,0.0,1.0,103.86639987152,103.86639987152,102.49679710504,102.93390437094,31552525.0
36872,2016-04-22,AAPL,105.01,106.48,104.62,105.68,33683121.0,0.0,1.0,102.00140887036,103.42929260562,101.62258257325001,102.65221302181,33683121.0
37358,2016-04-25,AAPL,105.0,105.65,104.51,105.08,28031588.0,0.0,1.0,101.99169537556999,102.62307253741,101.51573413048,102.06940333395,28031588.0
37844,2016-04-26,AAPL,103.91,105.3,103.91,104.35,56016165.0,0.0,1.0,100.93292444261999,102.28310021950001,100.93292444261999,101.36031821371999,56016165.0
38330,2016-04-27,AAPL,96.0,98.71,95.68,97.82,114602142.0,0.0,1.0,93.24955005765999,95.881907147829,92.938718224134,95.01740611083599,114602142.0
38816,2016-04-28,AAPL,97.61,97.88,94.25,94.83,82242690.0,0.0,1.0,94.81342272008499,95.075687079622,91.549688468067,92.11307116633199,82242690.0
39303,2016-04-29,AAPL,93.99,94.72,92.51,93.74,68531478.0,0.0,1.0,91.297137603327,92.00622272355801,89.859540373272,91.054300233386,68531478.0
39790,2016-05-02,AAPL,93.965,94.08,92.4,93.64,48160104.0,0.0,1.0,91.27285386633301,91.384559056507,89.752691930497,90.95716528540899,48160104.0
40277,2016-05-03,AAPL,94.2,95.74,93.68,95.18,56831277.0,0.0,1.0,91.501120994079,92.99699919292,90.9960192646,92.453043484251,56831277.0
40764,2016-05-04,AAPL,95.2,95.9,93.82,94.19,41025475.0,0.0,1.0,92.472470473846,93.152415109683,91.132008191767,91.49140749928101,41025475.0
41251,2016-05-05,AAPL,94.0,94.07,92.68,93.24,35890500.0,0.57,1.0,91.86503326378299,91.933443394937,90.575013647738,91.12229469696899,35890500.0
41738,2016-05-06,AAPL,93.37,93.45,91.85,92.72,43699886.0,0.0,1.0,91.249342083398,91.32752509043101,89.763864949771,90.614105151255,43699886.0
42225,2016-05-09,AAPL,93.0,93.77,92.59,92.79,32936436.0,0.0,1.0,90.88774567587,91.640257118563,90.48705776482599,90.682515282409,32936436.0
42712,2016-05-10,AAPL,93.33,93.57,92.11,93.42,33686836.0,0.0,1.0,91.210250579881,91.44479960097999,90.017959722628,91.298206462794,33686836.0
43199,2016-05-11,AAPL,93.48,93.57,92.46,92.51,28719109.0,0.0,1.0,91.356843718068,91.44479960097999,90.360010378398,90.408874757793,28719109.0
43686,2016-05-12,AAPL,92.72,92.78,89.47,90.34,76314690.0,0.0,1.0,90.614105151255,90.67274240653,87.437920490539,88.28816069202298,76314690.0
44173,2016-05-13,AAPL,90.0,91.67,90.0,90.52,44392765.0,0.0,1.0,87.955882912133,89.587953183947,87.955882912133,88.46407245784702,44392765.0
44660,2016-05-16,AAPL,92.39,94.39,91.65,93.88,61259756.0,0.0,1.0,90.29160024724399,92.246175423069,89.568407432188,91.747758753233,61259756.0
45147,2016-05-17,AAPL,94.55,94.7,93.01,93.49,46916939.0,0.0,1.0,92.40254143713499,92.549134575322,90.897518551749,91.36661659394699,46916939.0
45634,2016-05-18,AAPL,94.16,95.21,93.89,94.56,42062391.0,0.0,1.0,92.02139927784901,93.047551245157,91.757531629113,92.412314313014,42062391.0
46121,2016-05-19,AAPL,94.64,94.64,93.57,94.2,30442100.0,0.0,1.0,92.490497320047,92.490497320047,91.44479960097999,92.06049078136499,30442100.0
46608,2016-05-20,AAPL,94.64,95.43,94.52,95.22,32025968.0,0.0,1.0,92.490497320047,93.262554514498,92.373222809497,93.05732412103599,32025968.0
47095,2016-05-23,AAPL,95.87,97.19,95.67,96.43,38018643.0,0.0,1.0,93.69256105317899,94.98258066922399,93.497103535597,94.23984210241,38018643.0
47582,2016-05-24,AAPL,97.22,98.09,96.84,97.9,35140174.0,0.0,1.0,95.011899296861,95.86213949834499,94.640530013455,95.676454856642,35140174.0
48069,2016-05-25,AAPL,98.67,99.74,98.11,99.62,38642108.0,0.0,1.0,96.428966299335,97.47466401840099,95.88168525010401,97.357389507852,38642108.0
48556,2016-05-26,AAPL,99.68,100.73,98.64,100.41,56331159.0,0.0,1.0,97.416026763126,98.442178730435,96.39964767169701,98.12944670230301,56331159.0
49043,2016-05-27,AAPL,99.44,100.47,99.245,100.35,36341240.0,0.0,1.0,97.181477742027,98.18808395757699,96.99090666238399,98.07080944702801,36341240.0
49530,2016-05-31,AAPL,99.6,100.4,98.82,99.86,42307212.0,0.0,1.0,97.33784375609301,98.119673826423,96.57555943752199,97.59193852895099,42307212.0
50017,2016-06-01,AAPL,99.02,99.54,98.33,98.46,29173285.0,0.0,1.0,96.771016955104,97.279206500819,96.096688519444,96.223735905873,29173285.0
